Fecha;Medio;Año;Posición;Artista;Canción;Nacionalidad;Genero 
Enero;Radio;2021;1;Sebastián Yatra & Guaynaa  ;Chica Ideal  ;CO;Pop
Enero;Radio;2021;2;Camilo  ;Vida De Rico  ;CO;Pop
Enero;Radio;2021;3;Maluma  ;Hawai  ;CO;Urbano
Enero;Radio;2021;4;Harry Styles  ;Watermelon Sugar  ;GB;Rock
Enero;Radio;2021;5;Donald  ;Verano Naranja  ;US;Pop
Enero;Radio;2021;6;Rauw Alejandro & Camilo  ;TATTOO (REMIX)  ;"PR;CO";Urbano
Enero;Radio;2021;7;The Weeknd  ;Blinding Lights  ;CA;Pop
Enero;Radio;2021;8;"Camilo; El Alfa  ";Bebe  ;"CO; DO";Urbano
Enero;Radio;2021;9;Karol G  ;"Ay; DiOs Mío!  ";CO;Urbano
Enero;Radio;2021;10;Tainy & J Balvin  ;Agua (Music From)  ;PR;Urbano
Enero;Radio;2021;11;Harry Styles  ;Golden  ;GB;Pop
Enero;Radio;2021;12;Tones And I  ;Dance Monkey  ;AU;Pop
Enero;Radio;2021;13;Karol G  ;BICHOTA  ;CO;Urbano
Enero;Radio;2021;14;Black Eyed Peas X Shakira  ;Girl Like Me  ;"US;CO";Pop
Enero;Radio;2021;15;"Lele Pons; Guaynaa  ";Se Te Nota (With Guaynaa)  ;"VE; PR";Urbano
Enero;Radio;2021;16;"Seven Kayne; Polimá Westcoast; Young Cister  ";Eyes On My Ice  ;CL;Urbano
Enero;Radio;2021;17;Ed Sheeran  ;Afterglow  ;GB;Pop
Enero;Radio;2021;18;"J. Balvin; Dua Lipa; Bad Bunny  ";UN DIA (ONE DAY) (Feat. Tainy)  ;"CO; GB; PR";Urbano
Enero;Radio;2021;19;Bad Bunny Feat. Jhay Cortez  ;Dakiti  ;PR;Urbano
Enero;Radio;2021;20;"Sech; Daddy Yankee ";"Relación Feat. Rosalía; Farruko (Remix)  ";"PA; PR";Urbano
Enero;Radio;2021;21;Dua Lipa  ;Don't Start Now  ;GB;Pop
Enero;Radio;2021;22;Cnco  ;Tan Enamorados  ;US;Urbano
Enero;Radio;2021;23;"Los Legendarios; Wisin; Myke Towers  ";Mi Niña  ;"PR; PR; PR";Urbano
Enero;Radio;2021;24;Farruko  ;La Tóxica  ;PR;Urbano
Enero;Radio;2021;25;"Lola Indigo; Danna Paola; Denise Rosenthal  ";Santeria  ;"ES; MX; CL";Pop
Enero;Radio;2021;26;Boza  ;Hecha Pa' Mí  ;PA;Urbano
Enero;Radio;2021;27;Bts  ;Dynamite  ;KR;Pop
Enero;Radio;2021;28;Nio Garcia & Casper Magico  ;Travesuras  ;US;Urbano
Enero;Radio;2021;29;Pablo Alborán  ;Si Hubieras Querido  ;ES;Pop
Enero;Radio;2021;30;Cami  ;BIG BANG  ;CL;Pop
Enero;Radio;2021;31;"Luis Fonsi; Farruko  ";Perfecta  ;"PR; PR";Pop
Enero;Radio;2021;32;Mon Laferte  ;Tu Falta De Querer  ;"CL;MX";Pop
Enero;Radio;2021;33;Jay Wheeler & Dj Nelson (Feat. Myke Towers)  ;La Curiosidad  ;PR;Urbano
Enero;Radio;2021;34;Justin Timberlake;CAN'T STOP THE FEELING! (Original Song From Dream)  ;US;Pop
Enero;Radio;2021;35;Karol G & Nicki Minaj;TUSA  ;"CO;US";Urbano
Enero;Radio;2021;36;Miley Cyrus Feat. Dua Lipa  ;Prisoner  ;"US;GB";Pop
Enero;Radio;2021;37;"Daddy Yankee; Marc Anthony  ";De Vuelta Pa' La Vuelta  ;"PR; US";Urbano
Enero;Radio;2021;38;Migrantes  ;Si Me Tomo Una Cerveza  ;AR;Latino/Tropical
Enero;Radio;2021;39;"Ozuna; Karol G & Myke Towers  ";Caramelo (Remix)  ;"PR; CO";Urbano
Enero;Radio;2021;40;Daft Punk  ;Get Lucky Feat. Pharrell Williams  ;FR;Electronica
Enero;Radio;2021;41;Ed Sheeran  ;Shape Of You  ;GB;Pop
Enero;Radio;2021;42;Paloma Mami  ;Fingías  ;CL;Urbano
Enero;Radio;2021;43;David Guetta & Sia  ;Let's Love  ;"FR; AUS";Electronica
Enero;Radio;2021;44;Camilo & Pablo Alborán  ;El Mismo Aire  ;"CO; ES";Pop
Enero;Radio;2021;45;Pharrell Williams  ;Happy  ;US;Pop
Enero;Radio;2021;46;Jesse & Joy & Luis Fonsi  ;Tanto  ;"MX;PR";Pop
Enero;Radio;2021;47;BACILOS  ;Mi Primer Millon  ;US;Pop
Enero;Radio;2021;48;"Alex Rose; Rafa Pabön  ";Jangueo  ;PR;Urbano
Enero;Radio;2021;49;"Ovy On The Drums; Danny  ";Miedito O Qué? (Feat. KAROL G)  ;"CO; US";Urbano
Enero;Radio;2021;50;"Play N Skillz; Daddy Yankee; Zion & Lennox  ";Bésame  ;"US; PR; US";Urbano
Enero;Radio;2021;51;Shawn Mendes & Camila Cabello  ;Señorita  ;"CA;US";Pop
Enero;Radio;2021;52;Bad Bunny  ;Yo Perreo Sola  ;PR;Urbano
Enero;Radio;2021;53;Conan Gray  ;Heather  ;US;Pop
Enero;Radio;2021;54;Soda Stereo  ;Persiana Americana  ;AR;Rock
Enero;Radio;2021;55;"Mon Laferte; Alejandro Fernández  ";Que Se Sepa Nuestro Amor  ;"MX-CH; MX";Folk/Indie
Enero;Radio;2021;56;"Ache; Anonimus  ";Malditos Celos  ;"CO;US";Urbano
Enero;Radio;2021;57;"Mon Laferte; Juanes  ";Amárrame Feat. Juanes  ;"MX-CH; CO";Pop
Enero;Radio;2021;58;"Manuel Turizo; Rauw Alejandro; Mike Towers  ";La Nota  ;"CO; PR";Urbano
Enero;Radio;2021;59;Bruno Mars  ;That’s What I Like  ;US;Pop
Enero;Radio;2021;60;"Major Lazer; Paloma Mami  ";Queloque  ;"JM; CL";Pop
Enero;Radio;2021;61;Ariana Grande  ;Positions  ;US;Pop
Enero;Radio;2021;62;Benee Feat Gus Dapperton  ;Supalonely  ;NZ;Pop
Enero;Radio;2021;63;R.E.M.  ;Everybody Hurts  ;US;Rock
Enero;Radio;2021;64;Cami  ;Aquí Estoy  ;CL;Pop
Enero;Radio;2021;65;SIA  ;Hey Boy  ;AU;Pop
Enero;Radio;2021;66;Daddy Yankee  ;Que Tire Pa Lante  ;PR;Urbano
Enero;Radio;2021;67;Mon Laferte  ;El Beso  ;"MX;CL";Pop
Enero;Radio;2021;68;Francisca Valenzuela  ;Flotando  ;CL;Rock
Enero;Radio;2021;69;Avicii  ;Wake Me Up  ;SE;Electronica
Enero;Radio;2021;70;"Lasso; Cami  ";Un Millón Como Tú  ;"VE; CL";Pop
Enero;Radio;2021;71;Denise Rosenthal  ;Dormir  ;CL;Pop
Enero;Radio;2021;72;Anuel Aa  ;Reggaetonera  ;PR;Urbano
Enero;Radio;2021;73;Calvin Harris Feat Dua Lipa  ;One Kiss  ;GB;Pop
Enero;Radio;2021;74;Calvin Harris  ;Summer  ;GB;Pop
Enero;Radio;2021;75;Natalie Imbruglia  ;Torn  ;AU;Rock
Enero;Radio;2021;76;Sam Smith  ;Diamonds  ;GB;Pop
Enero;Radio;2021;77;"Zion & Lennox; Natti Natasha  ";Te Mueves  ;"US; DO";Urbano
Enero;Radio;2021;78;Coldplay  ;Adventure Of A Lifetime  ;GB;Pop
Enero;Radio;2021;79;Gepe  ;Fruta Y Te  ;CL;Folk/Indie
Enero;Radio;2021;80;The Weeknd  ;In Your Eyes  ;CA;Pop
Enero;Radio;2021;81;Denise Rosenthal  ;Lucha En Equilibrio  ;CL;Pop
Enero;Radio;2021;82;"Dua Lipa; Dababy  ";Levitating (Feat. DaBaby)  ;"GB; US";Pop
Enero;Radio;2021;83;R.E.M.  ;LOSING MY RELIGION  ;US;Rock
Enero;Radio;2021;84;Ed Sheeran  ;Perfect  ;GB;Pop
Enero;Radio;2021;85;Ed Sheeran & Justin Bieber  ;I Don't Care  ;GB;Pop
Enero;Radio;2021;86;Gepe  ;Hablar De Ti  ;CL;Folk/Indie
Enero;Radio;2021;87;Diego Torres  ;Color Esperanza  ;AR;Pop
Enero;Radio;2021;88;Café Tacvba  ;Eres  ;MX;Rock
Enero;Radio;2021;89;The Black Eyed Peas X J Balvin  ;RITMO (Bad Boys For Life)  ;"US;CO";Pop
Enero;Radio;2021;90;"Lunay; Daddy Yankee; Bad Bunny  ";Soltera (Remix)  ;"PR; PR; PR";Urbano
Enero;Radio;2021;91;The Weeknd  ;I Feel It Coming Feat. Daft Punk  ;CA;Pop
Enero;Radio;2021;92;Aya Nakamura  ;Djadja (Feat. Maluma) [Remix]  ;FR;Pop
Enero;Radio;2021;93;Los Bunkers  ;Llueve Sobre La Ciudad  ;CL;Rock
Enero;Radio;2021;94;Denise Rosenthal  ;Tiene Sabor  ;CL;Pop
Enero;Radio;2021;95;Ricky Martin & Carla Morrison  ;Recuerdo  ;PR;Pop
Enero;Radio;2021;96;Toto  ;Africa  ;US;Rock
Enero;Radio;2021;97;Justin Quiles  ;Ponte Pa' Mi  ;PR;Urbano
Enero;Radio;2021;98;"Calvin Harris; Sam Smith  ";Promises  ;GB;Electronica
Enero;Radio;2021;99;Myke Towers  ;Diosa  ;PR;Urbano
Enero;Radio;2021;100;Maroon 5 Feat Christina Aguilera  ;Moves Like Jagger  ;US;Pop
Febrero;Radio;2021;1;Sebastián Yatra & Guaynaa  ;Chica Ideal  ;CO;Urbano
Febrero;Radio;2021;2;Camilo  ;Vida De Rico  ;CO;Urbano
Febrero;Radio;2021;3;Maluma  ;Hawai  ;CO;Urbano
Febrero;Radio;2021;4;Cnco  ;Tan Enamorados  ;US;Urbano
Febrero;Radio;2021;5;Harry Styles  ;Watermelon Sugar  ;GB;Rock
Febrero;Radio;2021;6;"Camilo; El Alfa  ";Bebe  ;"CO; DO";Pop
Febrero;Radio;2021;7;The Weeknd  ;Blinding Lights  ;CA;Latino/Tropical
Febrero;Radio;2021;8;Donald  ;Verano Naranja  ;US;Pop
Febrero;Radio;2021;9;Harry Styles  ;Golden  ;GB;Pop
Febrero;Radio;2021;10;Karol G  ;"Ay; DiOs Mío!  ";CO;Urbano
Febrero;Radio;2021;11;Boza  ;Hecha Pa' Mí  ;PA;Urbano
Febrero;Radio;2021;12;Rauw Alejandro & Camilo  ;TATTOO (REMIX)  ;"PR;CO";Urbano
Febrero;Radio;2021;13;Bad Bunny Feat. Jhay Cortez  ;Dakiti  ;PR;Urbano
Febrero;Radio;2021;14;Black Eyed Peas X Shakira  ;Girl Like Me  ;"US;CO";Pop
Febrero;Radio;2021;15;Karol G  ;BICHOTA  ;CO;Urbano
Febrero;Radio;2021;16;"Lele Pons; Guaynaa  ";Se Te Nota (With Guaynaa)  ;"VE; PR";Urbano
Febrero;Radio;2021;17;Tones And I  ;Dance Monkey  ;AU;Pop
Febrero;Radio;2021;18;Tainy & J Balvin  ;Agua (Music From  ;PR;Urbano
Febrero;Radio;2021;19;Ed Sheeran  ;Afterglow  ;GB;Pop
Febrero;Radio;2021;20;Daft Punk Feat. Pharrell Williams  ;Get Lucky Feat. Pharrell Williams  ;FR;Electronica
Febrero;Radio;2021;21;"Seven Kayne; Polimá Westcoast; Young Cister  ";Eyes On My Ice  ;CL;Urbano
Febrero;Radio;2021;22;David Guetta & Sia  ;Let's Love  ;FR;Electronica
Febrero;Radio;2021;23;Olivia Rodrigo  ;Drivers License  ;US;Pop
Febrero;Radio;2021;24;"J. Balvin; Dua Lipa; Bad Bunny  ";UN DIA (ONE DAY) (Feat. Tainy)  ;"CO; GB; PR";Urbano
Febrero;Radio;2021;25;Miley Cyrus Feat. Dua Lipa  ;Prisoner  ;"US;GB";Urbano
Febrero;Radio;2021;26;Dua Lipa  ;Don't Start Now  ;GB;Pop
Febrero;Radio;2021;27;Mon Laferte  ;Tu Falta De Querer  ;MX;Pop
Febrero;Radio;2021;28;"Sech; Daddy Yankee; Rosalía; Farruko  ";"Relación Feat. Rosalía; Farruko (Remix)  ";"PA; PR; ES; PR";Urbano
Febrero;Radio;2021;29;Farruko  ;La Tóxica  ;PR;Urbano
Febrero;Radio;2021;30;Migrantes  ;Si Me Tomo Una Cerveza  ;AR;Latino/Tropical
Febrero;Radio;2021;31;Charles & Eddie  ;Would I Lie To You?  ;US;Pop
Febrero;Radio;2021;32;Ariana Grande  ;Positions  ;US;Pop
Febrero;Radio;2021;33;"Los Legendarios; Wisin; Myke Towers  ";Mi Niña  ;"PR; PR; PR";Urbano
Febrero;Radio;2021;34;Justin Timberlake  ;CAN'T STOP THE FEELING! (Original Song From Dream  ;US;Pop
Febrero;Radio;2021;35;Ed Sheeran  ;Shape Of You  ;GB;Pop
Febrero;Radio;2021;36;The Weeknd  ;I Feel It Coming Feat. Daft Punk  ;CA;Pop
Febrero;Radio;2021;37;"Flor De Rap; Denise Rosenthal  ";Bailalo Mujer  ;CL;Urbano
Febrero;Radio;2021;38;Jay Wheeler & Dj Nelson (Feat. Myke Towers)  ;La Curiosidad  ;PR;Urbano
Febrero;Radio;2021;39;Cami  ;BIG BANG  ;CL;Pop
Febrero;Radio;2021;40;"Karol G; Nicki Minaj  ";TUSA  ;"CO; US";Urbano
Febrero;Radio;2021;41;Bob Marley And The Wailers  ;Could You Be Loved (Edit)  ;JM;Otro
Febrero;Radio;2021;42;"Luis Fonsi; Farruko  ";Perfecta  ;"PR; PR";Urbano
Febrero;Radio;2021;43;Paloma Mami  ;Fingías  ;CL;Urbano
Febrero;Radio;2021;44;The Weeknd  ;In Your Eyes  ;CA;Pop
Febrero;Radio;2021;45;Mario Guerrero & Fanny Lu  ;Corazones Rotos  ;CL;Pop
Febrero;Radio;2021;46;"Daddy Yankee; Marc Anthony  ";De Vuelta Pa' La Vuelta  ;"PR; US";Urbano
Febrero;Radio;2021;47;Camilo & Pablo Alborán  ;El Mismo Aire  ;"CO;ES";Pop
Febrero;Radio;2021;48;Shawn Mendes & Camila Cabello  ;Señorita  ;CA;Pop
Febrero;Radio;2021;49;Pharrell Williams  ;Happy  ;US;Pop
Febrero;Radio;2021;50;The Weeknd  ;Save Your Tears  ;CA;Pop
Febrero;Radio;2021;51;Soda Stereo  ;Persiana Americana  ;AR;Rock
Febrero;Radio;2021;52;Mon Laferte  ;Se Me Va A Quemar El Corazón  ;MX;Latino/Tropical
Febrero;Radio;2021;53;Pablo Alborán  ;Si Hubieras Querido  ;ES;Pop
Febrero;Radio;2021;54;"Ozuna; Karol G & Myke Towers  ";Caramelo (Remix)  ;"PR; DE";Urbano
Febrero;Radio;2021;55;Nio Garcia & Casper Magico  ;Travesuras  ;US;Urbano
Febrero;Radio;2021;56;"Lola Indigo; Danna Paola; Denise Rosenthal  ";Santería  ;"ES; MX; CL";Pop
Febrero;Radio;2021;57;BTS  ;Dynamite  ;KR;Pop
Febrero;Radio;2021;58;Benee Feat Gus Dapperton  ;Supalonely  ;NZ;Pop
Febrero;Radio;2021;59;Natalie Imbruglia  ;Torn  ;AU;Rock
Febrero;Radio;2021;60;"Manuel Turizo; Rauw Alejandro; Mike Towers  ";La Nota  ;"CO; PR";Urbano
Febrero;Radio;2021;61;SIA  ;Hey Boy  ;AU;Pop
Febrero;Radio;2021;62;Mon Laferte Feat. Juanes  ;Amárrame  ;"MX;CO";Latino/Tropical
Febrero;Radio;2021;63;"Dua Lipa; DaBaby  ";Levitating (Feat. DaBaby)  ;"GB; US";Pop
Febrero;Radio;2021;64;The Cure  ;Friday I'm In Love  ;GB;Rock
Febrero;Radio;2021;65;Denise Rosenthal  ;Lucha En Equilibrio  ;CL;Pop
Febrero;Radio;2021;66;"Lasso; Cami  ";Un Millón Como Tú  ;"VE; CL";Pop
Febrero;Radio;2021;67;"Manuel Turizo; Wisin & Yandel  ";Mala Costumbre  ;"CO; PR";Urbano
Febrero;Radio;2021;68;Cami  ;Aquí Estoy  ;CL;Pop
Febrero;Radio;2021;69;"Play N Skillz; Daddy Yankee; Zion & Lennox  ";Bésame  ;"US; PR; US";Urbano
Febrero;Radio;2021;70;"Ovy On The Drums; Danny; Karol G  ";Miedito O Qué?  ;"CO; US; CO";Urbano
Febrero;Radio;2021;71;Mon Laferte  ;El Beso  ;MX;Pop
Febrero;Radio;2021;72;Sebastián Yatra  ;Adiós  ;CO;Urbano
Febrero;Radio;2021;73;Bacilos  ;Mi Primer Millón  ;US;Pop
Febrero;Radio;2021;74;Bruno Mars  ;That’s What I Like  ;US;Pop
Febrero;Radio;2021;75;"Calvin Harris; Sam Smith  ";Promises  ;GB;Electronica
Febrero;Radio;2021;76;Bad Bunny  ;Yo Perreo Sola  ;PR;Urbano
Febrero;Radio;2021;77;Gepe  ;Fruta Y Té  ;CL;Folk/Indie
Febrero;Radio;2021;78;Diego Torres  ;Color Esperanza  ;AR;Pop
Febrero;Radio;2021;79;Francisca Valenzuela  ;Quiero Verte Más  ;CL;Rock
Febrero;Radio;2021;80;Santaferia  ;Algún Día Volverás  ;CL;Latino/Tropical
Febrero;Radio;2021;81;"Alex Rose; Rafa Pabön  ";Jangueo  ;PR;Urbano
Febrero;Radio;2021;82;Jesse & Joy & Luis Fonsi  ;Tanto  ;US;Pop
Febrero;Radio;2021;83;Sam Smith  ;I Feel Love  ;GB;Pop
Febrero;Radio;2021;84;Maroon 5 Feat Christina Aguilera  ;Moves Like Jagger  ;US;Pop
Febrero;Radio;2021;85;Iván Alejandro  ;Me Enamoré De Ti  ;CL;Folk/Indie
Febrero;Radio;2021;86;Anuel Aa & Ozuna  ;Antes  ;PR;Urbano
Febrero;Radio;2021;87;Avicii  ;Wake Me Up  ;SE;Electronica
Febrero;Radio;2021;88;Café Tacvba  ;Eres  ;MX;Rock
Febrero;Radio;2021;89;No Doubt  ;Don't Speak  ;US;Rock
Febrero;Radio;2021;90;Calvin Harris Feat Dua Lipa  ;One Kiss  ;GB;Pop
Febrero;Radio;2021;91;Toto  ;Africa  ;US;Rock
Febrero;Radio;2021;92;Gepe  ;Hablar De Ti  ;CL;Folk/Indie
Febrero;Radio;2021;93;Ed Sheeran  ;Perfect  ;GB;Pop
Febrero;Radio;2021;94;Sam Smith  ;Diamonds  ;GB;Pop
Febrero;Radio;2021;95;Ashnikko Feat. Kelis  ;Deal With It  ;US;Pop
Febrero;Radio;2021;96;Marc Anthony  ;Vivir Mi Vida  ;US;Latino/Tropical
Febrero;Radio;2021;97;Selena Gomez & Rauw Alejandro  ;Baila Conmigo  ;US;Pop
Febrero;Radio;2021;98;Emilia & Alex Rose  ;Bendición  ;SE;Urbano
Febrero;Radio;2021;99;Coldplay  ;Adventure Of A Lifetime  ;GB;Pop
Febrero;Radio;2021;100;Francisca Valenzuela  ;Ya No Se Trata De Ti  ;CL;Rock
Marzo;Radio;2021;1;Sebastián Yatra & Guaynaa  ;Chica Ideal  ;CO;Urbano
Marzo;Radio;2021;2;CNCO  ;Tan Enamorados  ;US;Urbano
Marzo;Radio;2021;3;Harry Styles  ;Watermelon Sugar  ;GB;Rock
Marzo;Radio;2021;4;Maluma  ;Hawai  ;CO;Urbano
Marzo;Radio;2021;5;"Karol G; Anuel Aa; J. Balvin  ";Location  ;"CO; PR; CO";Urbano
Marzo;Radio;2021;6;Camilo  ;Vida De Rico  ;CO;Pop
Marzo;Radio;2021;7;Boza  ;Hecha Pa' Mí  ;PA;Urbano
Marzo;Radio;2021;8;Black Eyed Peas X Shakira  ;Girl Like Me  ;"US;CO";Pop
Marzo;Radio;2021;9;"Camilo; El Alfa  ";Bebe  ;"CO; DO";Pop
Marzo;Radio;2021;10;Olivia Rodrigo  ;Drivers License  ;US;Pop
Marzo;Radio;2021;11;"Bruno Mars; Anderson .Paak; Silk Sonic  ";Leave The Door Open  ;"US; US; US";Pop
Marzo;Radio;2021;12;Bad Bunny Feat. Jhay Cortez  ;Dakiti  ;PR;Urbano
Marzo;Radio;2021;13;"Flor De Rap; Denise Rosenthal  ";Báilalo Mujer  ;CL;Urbano
Marzo;Radio;2021;14;Miley Cyrus Feat. Dua Lipa  ;Prisoner  ;"US;GB";Pop
Marzo;Radio;2021;15;Iván Alejandro  ;Me Enamoré De Ti  ;CL;Folk/Indie
Marzo;Radio;2021;16;Harry Styles  ;Golden  ;GB;Pop
Marzo;Radio;2021;17;The Weeknd  ;Blinding Lights  ;CA;Pop
Marzo;Radio;2021;18;Maluma  ;Agua De Jamaica  ;CO;Urbano
Marzo;Radio;2021;19;The Weeknd  ;Save Your Tears  ;CA;Pop
Marzo;Radio;2021;20;Daft Punk Feat. Pharrell Williams  ;Get Lucky  ;FR;Electronica
Marzo;Radio;2021;21;Charles & Eddie  ;Would I Lie To You?  ;US;Pop
Marzo;Radio;2021;22;"Seven Kayne; Polimá Westcoast; Young Cister  ";Eyes On My Ice  ;CL;Urbano
Marzo;Radio;2021;23;Jay Wheeler & DJ Nelson (Feat. Myke Towers)  ;La Curiosidad  ;PR;Urbano
Marzo;Radio;2021;24;Dua Lipa  ;Don't Start Now  ;GB;Pop
Marzo;Radio;2021;25;"Manuel Turizo; Wisin & Yandel  ";Mala Costumbre  ;"CO; PR";Urbano
Marzo;Radio;2021;26;Karol G  ;"Ay; DiOs Mío!  ";CO;Urbano
Marzo;Radio;2021;27;Tones And I  ;Dance Monkey  ;AU;Pop
Marzo;Radio;2021;28;Paloma Mami  ;Religiosa  ;US;Urbano
Marzo;Radio;2021;29;Luigy Boy Y La Florezta  ;Alo Michael (Rico Rico Rico Rico)  ;CO;Latino/Tropical
Marzo;Radio;2021;30;Calvin Harris Feat. Dua Lipa  ;One Kiss  ;GB;Pop
Marzo;Radio;2021;31;Emilia & Alex Rose  ;Bendición  ;SE;Urbano
Marzo;Radio;2021;32;Ed Sheeran  ;Shape Of You  ;GB;Pop
