"Fecha","Medio","Posición","Artista","Canción","Nacionalidad","Genero"
"ene-23","Spotify","1","Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","AR, CO","Urbano"
"ene-23","Spotify","2","Pailita, Cris Mj, Young Cister","Llámame Bebé","CL","Urbano"
"ene-23","Spotify","3","Yandel, Feid","Yandel 150","PR, CO","Urbano"
"ene-23","Spotify","4","Ozuna, Feid","Hey Mor","PR, CO","Urbano"
"ene-23","Spotify","5","Miley Cyrus","Flowers","US","Pop"
"ene-23","Spotify","6","Manuel Turizo","La Bachata","CO","Urbano"
"ene-23","Spotify","7","Jere Klein, Lucky Brown","Mandame Tu Ubi","CL","Urbano"
"ene-23","Spotify","8","Arcángel, Bad Bunny","La Jumpa","PR, PR","Urbano"
"ene-23","Spotify","9","Cris Mj, Duki, Nicki Nicole, Standly, Stars Music Chile","Marisola - Remix","CL, AR","Urbano"
"ene-23","Spotify","10","Harry Nach, Cris Mj, Pablo Chill-E, Polimá Westcoast, Aqua VS, Tom fomt, Kreamly, Nikxz","LOKOTRON REMIX","CL, CL, CL","Urbano"
"ene-23","Spotify","11","Marcianeke, Jere Klein, Gold Music","Muñeca","CL, CL","Urbano"
"ene-23","Spotify","12","Ñengo Flow, Bad Bunny","Gato de Noche","PR, PR","Urbano"
"ene-23","Spotify","13","Balbi El Chamako, Jere Klein","Ese Corte","CL, CL","Urbano"
"ene-23","Spotify","14","Quevedo","PUNTO G","ES","Urbano"
"ene-23","Spotify","15","Feid","Feliz Cumpleaños Ferxxo","CO","Urbano"
"ene-23","Spotify","16","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","AR","Urbano"
"ene-23","Spotify","17","Cris Mj, Pablo Chill-E","Como Tu Ninguna - Remix","CL, CL","Urbano"
"ene-23","Spotify","18","King Savagge, Ak4:20, Paloma Mami","NOPALATELE","US","Urbano"
"ene-23","Spotify","19","Pailita","Parcera","CL","Urbano"
"ene-23","Spotify","20","Young Cister, Taiko","DEBI LLEVARTE FLORES","CL","Urbano"
"ene-23","Spotify","21","Quevedo","VISTA AL MAR","ES","Urbano"
"ene-23","Spotify","22","Jere Klein, ITHAN NY","Los Diablotes","CL, CL","Urbano"
"ene-23","Spotify","23","Feid","CHORRITO PA LAS ANIMAS","CO","Urbano"
"ene-23","Spotify","24","Pailita, El Jordan 23, Noriel, Pablo Chill-E","Na Na Na - Remix","PR, CL","Urbano"
"ene-23","Spotify","25","Bad Bunny","Efecto","PR","Urbano"
"ene-23","Spotify","26","KAROL G, Ovy On The Drums","CAIRO","CO, CO","Urbano"
"ene-23","Spotify","27","Bad Bunny, Chencho Corleone","Me Porto Bonito","PR, PR","Urbano"
"ene-23","Spotify","28","ITHAN NY, Tunechikidd, Nickoog Clk","TU DIABLO","CL","Urbano"
"ene-23","Spotify","29","Julianno Sosa, Young Cister","GANAS","CL","Urbano"
"ene-23","Spotify","30","Shakira, Ozuna","Monotonía","CO, PR","Pop"
"ene-23","Spotify","31","Feid","Normal","CO","Urbano"
"ene-23","Spotify","32","Stars Music Chile, Cris Mj, Standly","Marisola","CL","Urbano"
"ene-23","Spotify","33","Jairo Vera, Darkiel, Gino Mella, Best, Bayriton","ADICTO (feat. Best, Bayriton)","PR","Urbano"
"ene-23","Spotify","34","Feid, Ak4:20, Taiko","Malibu","CO","Urbano"
"ene-23","Spotify","35","Jairo Vera","PA K TE ENAMORE","CL","Urbano"
"ene-23","Spotify","36","Rauw Alejandro, Lyanno, Brray","LOKERA","PR, PR, PR","Urbano"
"ene-23","Spotify","37","Polimá Westcoast, Quevedo, Mora","LACONE","CL, SE","Urbano"
"ene-23","Spotify","38","El Punto40, Marcianeke","Mini Mini","CL","Urbano"
"ene-23","Spotify","39","Bad Bunny, Bomba Estéreo","Ojitos Lindos","PR, CO","Urbano"
"ene-23","Spotify","40","Wisin & Yandel, ROSALÍA","Besos Moja2","PR, ES","Urbano"
"ene-23","Spotify","41","Rauw Alejandro, Baby Rasta","PUNTO 40","PR, PR","Urbano"
"ene-23","Spotify","42","ROSALÍA","DESPECHÁ","ES","Pop"
"ene-23","Spotify","43","Quevedo, Myke Towers","PLAYA DEL INGLÉS","PR","Urbano"
"ene-23","Spotify","44","Cris Mj, Tiago PZK","Fiera","CL, AR","Urbano"
"ene-23","Spotify","45","Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto","ULTRA SOLO REMIX","CL, CO, US, PR","Urbano"
"ene-23","Spotify","46","Bad Bunny","Tití Me Preguntó","PR","Urbano"
"ene-23","Spotify","47","Bad Bunny","Moscow Mule","PR","Urbano"
"ene-23","Spotify","48","Mora, Feid","LA INOCENTE","SE, CO","Urbano"
"ene-23","Spotify","49","Pablito Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C","BABY OTAKU","CL","Urbano"
"ene-23","Spotify","50","Bad Bunny","Neverita","PR","Urbano"
"ene-23","Spotify","51","Cris Mj","Una Noche en Medellín","CL","Urbano"
"ene-23","Spotify","52","Cris Mj, Ak4:20","Sin Seguro","CL","Urbano"
"ene-23","Spotify","53","Jairo Vera, Balbi El Chamako, Nickoog Clk, El Rey, Gringuitos Records","Te Extraño a Lo Vio (feat. El Rey & Gringuitos Records)","CL","Urbano"
"ene-23","Spotify","54","Harry Styles","As It Was","GB","Pop"
"ene-23","Spotify","55","Marcianeke, Jairo Vera","Dime","CL","Urbano"
"ene-23","Spotify","56","Young Cister","LA TERAPIA","CL","Urbano"
"ene-23","Spotify","57","Shakira, Rauw Alejandro","Te Felicito","CO, PR","Pop"
"ene-23","Spotify","58","Nickoog Clk","Salimos Del Tarro","CL","Urbano"
"ene-23","Spotify","59","Julianno Sosa, Ñengo Flow, King Savagge, Ryan Castro","Cochinae (Remix)","PR, CO","Urbano"
"ene-23","Spotify","60","Pailita, Young Cister","Caminemos de la Mano","CL","Urbano"
"ene-23","Spotify","61","Nickoog Clk, Julianno Sosa","Chamaka","CL","Urbano"
"ene-23","Spotify","62","Jairo Vera","Lealtad","CL","Urbano"
"ene-23","Spotify","63","Paloma Mami, Pailita, El Jordan 23","SíNTOMAS DE SOLTERA","US","Urbano"
"ene-23","Spotify","64","Quevedo","WANDA","ES","Urbano"
"ene-23","Spotify","65","KAROL G","PROVENZA","CO","Urbano"
"ene-23","Spotify","66","Ak4:20, Pailita, Cris Mj","Me Arrepentí","CL","Urbano"
"ene-23","Spotify","67","Cris Mj, Blessd","Gucci en Paris","CL, CO","Urbano"
"ene-23","Spotify","68","Quevedo","AHORA QUÉ","ES","Urbano"
"ene-23","Spotify","69","Rauw Alejandro, Chencho Corleone","Desesperados","PR, PR","Urbano"
"ene-23","Spotify","70","Cris Mj, Fran C","Bellakera","CL","Urbano"
"ene-23","Spotify","71","KAROL G, Maldy","GATÚBELA","CO, PR","Urbano"
"ene-23","Spotify","72","Lucky Brown, Jairo Vera, Valdi","Kilo De Amigas","CL","Urbano"
"ene-23","Spotify","73","Standly","Panamera","CL","Urbano"
"ene-23","Spotify","74","Young Cister, Polimá Westcoast","SAMURAI","CL","Urbano"
"ene-23","Spotify","75","Santaferia, Grupo Zúmbale Primo","Que Te Vaya Bien","CL","Urbano"
"ene-23","Spotify","76","Jairo Vera","Tarima","CL","Urbano"
"ene-23","Spotify","77","Martinwhite, Erreflexx","V16","CL","Urbano"
"ene-23","Spotify","78","Myke Towers, Daddy Yankee","ULALA (OOH LA LA)","PR, PR","Urbano"
"ene-23","Spotify","79","Fayer Music, Jere Klein, King Savage","Hielo","CL","Urbano"
"ene-23","Spotify","80","JHAYCO, Feid, Sech","En La De Ella","PR, CO, PA","Urbano"
"ene-23","Spotify","81","Bad Bunny, Tony Dize","La Corriente","PR, PR","Urbano"
"ene-23","Spotify","82","Feid","Ferxxo 100","CO","Urbano"
"ene-23","Spotify","83","Luar La L","Caile","PR","Urbano"
"ene-23","Spotify","84","Rema, Selena Gomez","Calm Down (with Selena Gomez)","NG, US","Latino/Tropical"
"ene-23","Spotify","85","Don Omar","Dile","PR","Urbano"
"ene-23","Spotify","86","Bad Bunny","Yonaguni","PR","Urbano"
"ene-23","Spotify","87","Gino Mella, Jairo Vera","Mujeriego","CL","Urbano"
"ene-23","Spotify","88","Young Cister, Nicki Nicole, Alvaro Diaz","LA TERAPIA REMIX","AR, PR","Urbano"
"ene-23","Spotify","89","Bellakath","Gatita","MX","Urbano"
"ene-23","Spotify","90","SZA","Kill Bill","US","Pop"
"ene-23","Spotify","91","El BAI, Cris Mj, SowlBeatz","Pensándote","CL, CL","Urbano"
"ene-23","Spotify","92","Standly","Pégate","CL","Urbano"
"ene-23","Spotify","93","Polimá Westcoast, Pailita","ULTRA SOLO","CL","Urbano"
"ene-23","Spotify","94","El Jordan 23, Standly","Bailando","CL","Urbano"
"ene-23","Spotify","95","Piso 21, Manuel Turizo","Los Cachos","CO, CO","Urbano"
"ene-23","Spotify","96","Quevedo, Omar Montes","DAME","ES","Urbano"
"ene-23","Spotify","97","Morat","No Se Va","CO","Pop"
"ene-23","Spotify","98","Pailita, Cris Mj, Big Cvyu","Dime Tú","CL","Urbano"
"ene-23","Spotify","99","Quevedo, Ovy On The Drums","SIN SEÑAL","CO","Urbano"
"ene-23","Spotify","100","Rels B","cómo dormiste?","ES","Urbano"
"feb-23","Spotify","1","Yandel, Feid","Yandel 150","PR, CO","Urbano"
"feb-23","Spotify","2","King Savagge, Jere Klein","2 Hielos","CL","Urbano"
"feb-23","Spotify","3","KAROL G, Romeo Santos","X SI VOLVEMOS","CO, US","Urbano"
"feb-23","Spotify","4","Ozuna, Feid","Hey Mor","PR, CO","Urbano"
"feb-23","Spotify","5","Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","AR, CO","Urbano"
"feb-23","Spotify","6","Pailita, Cris Mj, Young Cister","Llámame Bebé","CL","Urbano"
"feb-23","Spotify","7","Manuel Turizo","La Bachata","CO","Urbano"
"feb-23","Spotify","8","Feid","Feliz Cumpleaños Ferxxo","CO","Urbano"
"feb-23","Spotify","9","Jere Klein, ITHAN NY","Los Diablotes","CL, CL","Urbano"
"feb-23","Spotify","10","Jere Klein, Lucky Brown","Mandame Tu Ubi","CL","Urbano"
"feb-23","Spotify","11","Marcianeke, Jere Klein, Gold Music","Muñeca","CL, CL","Urbano"
"feb-23","Spotify","12","Jairo Vera, Best","Con Puras de 25","CL","Urbano"
"feb-23","Spotify","13","KAROL G, Ovy On The Drums","CAIRO","CO, CO","Urbano"
"feb-23","Spotify","14","Cris Mj, Duki, Nicki Nicole, Standly, Stars Music Chile","Marisola - Remix","CL, AR","Urbano"
"feb-23","Spotify","15","Arcángel, Bad Bunny","La Jumpa","PR, PR","Urbano"
"feb-23","Spotify","16","Feid","CHORRITO PA LAS ANIMAS","CO","Urbano"
"feb-23","Spotify","17","Harry Nach, Cris Mj, Pablo Chill-E, Polimá Westcoast, Aqua VS, Tom fomt, Kreamly, Nikxz","LOKOTRON REMIX","CL, CL, CL","Urbano"
"feb-23","Spotify","18","Balbi El Chamako, Jere Klein","Ese Corte","CL, CL","Urbano"
"feb-23","Spotify","19","Quevedo","PUNTO G","ES","Urbano"
"feb-23","Spotify","20","Jairo Vera, Nickoog Clk, Gino Mella, Balbi El Chamako, Bayron Fire, Bayriton, Tommy Boysen, Gringuitos Records, El Rey","Te Extraño a Lo Vio (feat. Balbi El Chamako, Bayron Fire, Bayriton, Tommy Boysen, Gringuitos Records, El Rey) - Remix","CL, CL","Urbano"
"feb-23","Spotify","21","Feid","Normal","CO","Urbano"
"feb-23","Spotify","22","Ñengo Flow, Bad Bunny","Gato de Noche","PR, PR","Urbano"
"feb-23","Spotify","23","Jairo Vera, Balbi El Chamako, Nickoog Clk, El Rey, Gringuitos Records","Te Extraño a Lo Vio (feat. El Rey & Gringuitos Records)","CL","Urbano"
"feb-23","Spotify","24","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","AR","Urbano"
"feb-23","Spotify","25","Pailita","Parcera","CL","Urbano"
"feb-23","Spotify","26","Miley Cyrus","Flowers","US","Pop"
"feb-23","Spotify","27","Jairo Vera","PA K TE ENAMORE","CL","Urbano"
"feb-23","Spotify","28","Quevedo","VISTA AL MAR","ES","Urbano"
"feb-23","Spotify","29","LiL CaKe, Migrantes, Nico Valdi","MERCHO","AR","Urbano"
"feb-23","Spotify","30","KAROL G","PROVENZA","CO","Urbano"
"feb-23","Spotify","31","Jairo Vera","Lealtad","CL","Urbano"
"feb-23","Spotify","32","Bad Bunny, Chencho Corleone","Me Porto Bonito","PR, PR","Urbano"
"feb-23","Spotify","33","Cris Mj","Mi Facha","CL","Urbano"
"feb-23","Spotify","34","King Savagge, Ak4:20, Paloma Mami","NOPALATELE","US","Urbano"
"feb-23","Spotify","35","Quevedo","WANDA","ES","Urbano"
"feb-23","Spotify","36","Stars Music Chile, Cris Mj, Ak4:20","Salió De Noche","CL","Urbano"
"feb-23","Spotify","37","Pailita, El Jordan 23, Noriel, Pablo Chill-E","Na Na Na - Remix","PR, CL","Urbano"
"feb-23","Spotify","38","Julianno Sosa, Young Cister","GANAS","CL","Urbano"
"feb-23","Spotify","39","Young Cister, Taiko","DEBI LLEVARTE FLORES","CL","Urbano"
"feb-23","Spotify","40","Bad Bunny, Bomba Estéreo","Ojitos Lindos","PR, CO","Urbano"
"feb-23","Spotify","41","Cris Mj, Pablo Chill-E","Como Tu Ninguna - Remix","CL, CL","Urbano"
"feb-23","Spotify","42","Bad Bunny","Efecto","PR","Urbano"
"feb-23","Spotify","43","Mora, Feid","LA INOCENTE","SE, CO","Urbano"
"feb-23","Spotify","44","Feid, Ak4:20, Taiko","Malibu","CO","Urbano"
"feb-23","Spotify","45","TINI","Cupido","AR","Pop"
"feb-23","Spotify","46","Yong Bryel, Jere Klein, El BAI","Los Rockstars","CL, CL","Urbano"
"feb-23","Spotify","47","Cris Mj","Una Noche en Medellín","CL","Urbano"
"feb-23","Spotify","48","Becky G, KAROL G","MAMIII","US, CO","Urbano"
"feb-23","Spotify","49","Jairo Vera, Darkiel, Gino Mella, Best, Bayriton","ADICTO (feat. Best, Bayriton)","PR","Urbano"
"feb-23","Spotify","50","Jere Klein","Ya No Pienso en Ti","CL","Urbano"
"feb-23","Spotify","51","Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto","ULTRA SOLO REMIX","CL, CO, US, PR","Urbano"
"feb-23","Spotify","52","Rauw Alejandro, Lyanno, Brray","LOKERA","PR, PR, PR","Urbano"
"feb-23","Spotify","53","Wisin & Yandel, ROSALÍA","Besos Moja2","PR, ES","Urbano"
"feb-23","Spotify","54","KAROL G, Maldy","GATÚBELA","CO, PR","Urbano"
"feb-23","Spotify","55","ITHAN NY, Tunechikidd, Nickoog Clk","TU DIABLO","CL","Urbano"
"feb-23","Spotify","56","Stars Music Chile, Cris Mj, Standly","Marisola","CL","Urbano"
"feb-23","Spotify","57","El Punto40, Marcianeke","Mini Mini","CL","Urbano"
"feb-23","Spotify","58","Bad Bunny","Moscow Mule","PR","Urbano"
"feb-23","Spotify","59","ROSALÍA","DESPECHÁ","ES","Urbano"
"feb-23","Spotify","60","Rauw Alejandro, Daddy Yankee","PANTIES Y BRASIERES","PR, PR","Urbano"
"feb-23","Spotify","61","Bad Bunny","Tití Me Preguntó","PR","Urbano"
"feb-23","Spotify","62","Gino Mella, Jairo Vera","Mujeriego","CL","Urbano"
"feb-23","Spotify","63","Cris Mj, Ak4:20","Sin Seguro","CL","Urbano"
"feb-23","Spotify","64","Bad Bunny","Neverita","PR","Urbano"
"feb-23","Spotify","65","Harry Styles","As It Was","GB","Pop"
"feb-23","Spotify","66","Feid","Ferxxo 100","CO","Urbano"
"feb-23","Spotify","67","Shakira, Ozuna","Monotonía","CO, PR","Pop"
"feb-23","Spotify","68","Rauw Alejandro, Baby Rasta","PUNTO 40","PR, PR","Urbano"
"feb-23","Spotify","69","Cris Mj, Tiago PZK","Fiera","CL, AR","Urbano"
"feb-23","Spotify","70","TINI","La Triple T","AR","Pop"
"feb-23","Spotify","71","Quevedo, Myke Towers","PLAYA DEL INGLÉS","PR","Urbano"
"feb-23","Spotify","72","TINI, La Joaqui, Steve Aoki","Muñecas","AR, AR, US","Pop"
"feb-23","Spotify","73","Ak4:20, Pailita, Cris Mj","Me Arrepentí","CL","Urbano"
"feb-23","Spotify","74","Polimá Westcoast, Quevedo, Mora","LACONE","CL, SE","Urbano"
"feb-23","Spotify","75","Rauw Alejandro, Chencho Corleone","Desesperados","PR, PR","Urbano"
"feb-23","Spotify","76","Cris Mj, Blessd","Gucci en Paris","CL, CO","Urbano"
"feb-23","Spotify","77","Young Cister","LA TERAPIA","CL","Urbano"
"feb-23","Spotify","78","Santaferia, Grupo Zúmbale Primo","Que Te Vaya Bien","CL","Latino/Tropical"
"feb-23","Spotify","79","Lucky Brown, Jairo Vera, Valdi","Kilo De Amigas","CL","Urbano"
"feb-23","Spotify","80","Cris Mj, Fran C","Bellakera","CL","Urbano"
"feb-23","Spotify","81","Paloma Mami, Pailita, El Jordan 23","SíNTOMAS DE SOLTERA","US","Urbano"
"feb-23","Spotify","82","Pablito Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C","BABY OTAKU","CL","Urbano"
"feb-23","Spotify","83","Jairo Vera","Tarima","CL","Urbano"
"feb-23","Spotify","84","TINI, Maria Becerra","Miénteme","AR, AR","Pop"
"feb-23","Spotify","85","Shakira, Rauw Alejandro","Te Felicito","CO, PR","Pop"
"feb-23","Spotify","86","Duki","Si Me Sobrara el Tiempo","AR","Urbano"
"feb-23","Spotify","87","Rels B","cómo dormiste?","ES","Urbano"
"feb-23","Spotify","88","Myke Towers, Daddy Yankee","ULALA (OOH LA LA)","PR, PR","Urbano"
"feb-23","Spotify","89","Daddy Yankee, Justin Quiles, Dalex","LA HORA Y EL DÍA","PR, PR, PR","Urbano"
"feb-23","Spotify","90","KAROL G","200 COPAS","CO","Urbano"
"feb-23","Spotify","91","Polimá Westcoast","TU ME QUIERES?","CL","Urbano"
"feb-23","Spotify","92","KAROL G","BICHOTA","CO","Urbano"
"feb-23","Spotify","93","Bad Bunny","Yonaguni","PR","Urbano"
"feb-23","Spotify","94","Don Omar","Dile","PR","Urbano"
"feb-23","Spotify","95","Martinwhite, Erreflexx","V16","CL","Urbano"
"feb-23","Spotify","96","Standly","Panamera","CL","Urbano"
"feb-23","Spotify","97","Pailita, Cris Mj, Big Cvyu","Dime Tú","CL","Urbano"
"feb-23","Spotify","98","Gino Mella, Ak4:20, Best","REÑACA","CL","Urbano"
"feb-23","Spotify","99","Nickoog Clk","Salimos Del Tarro","CL","Urbano"
"feb-23","Spotify","100","Feid","Prohibidox","CO","Urbano"
"mar-23","Spotify","1","KAROL G, Shakira","TQG","CO, CO","Urbano"
"mar-23","Spotify","2","Yandel, Feid","Yandel 150","PR, CO","Urbano"
"mar-23","Spotify","3","El Jordan 23, Big Cvyu","SHERATON","CL","Urbano"
"mar-23","Spotify","4","Eladio Carrion, Bad Bunny","Coco Chanel","PR, PR","Urbano"
"mar-23","Spotify","5","KAROL G, Romeo Santos","X SI VOLVEMOS","CO, US","Urbano"
"mar-23","Spotify","6","ROSALÍA, Rauw Alejandro","BESO","ES, PR","Urbano"
"mar-23","Spotify","7","Jere Klein, Fran C","Donde?","CL","Urbano"
"mar-23","Spotify","8","Ozuna, Feid","Hey Mor","PR, CO","Urbano"
"mar-23","Spotify","9","Jairo Vera, Nickoog Clk, Gino Mella, Balbi El Chamako, Bayron Fire, Bayriton, Tommy Boysen, Gringuitos Records, El Rey","Te Extraño a Lo Vio (feat. Balbi El Chamako, Bayron Fire, Bayriton, Tommy Boysen, Gringuitos Records, El Rey) - Remix","CL, CL","Urbano"
"mar-23","Spotify","10","Gino Mella, Best","TE EXO DE MENOS :(","CL","Urbano"
"mar-23","Spotify","11","Bizarrap, Arcángel","Arcángel: Bzrp Music Sessions, Vol. 54","AR, PR","Urbano"
"mar-23","Spotify","12","Feid","Feliz Cumpleaños Ferxxo","CO","Urbano"
"mar-23","Spotify","13","KAROL G","MIENTRAS ME CURO DEL CORA","CO","Urbano"
"mar-23","Spotify","14","Anuel AA, Mambo Kingz, DJ Luian","Mas Rica Que Ayer","PR, PR, PR","Urbano"
"mar-23","Spotify","15","Jere Klein","Ya No Pienso en Ti","CL","Urbano"
"mar-23","Spotify","16","TINI","Cupido","AR","Pop"
"mar-23","Spotify","17","Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","AR, CO","Urbano"
"mar-23","Spotify","18","Manuel Turizo","La Bachata","CO","Urbano"
"mar-23","Spotify","19","Milo j, Taiu","Rara Vez","AR, AR","Urbano"
"mar-23","Spotify","20","Marcianeke, Jere Klein, Gold Music","Muñeca","CL, CL","Urbano"
"mar-23","Spotify","21","Feid","CHORRITO PA LAS ANIMAS","CO","Urbano"
"mar-23","Spotify","22","Feid","Normal","CO","Urbano"
"mar-23","Spotify","23","Jairo Vera, Best","Con Puras de 25","CL","Urbano"
"mar-23","Spotify","24","LiL CaKe, Migrantes, Nico Valdi","MERCHO","AR","Urbano"
"mar-23","Spotify","25","Cris Mj, Duki, Nicki Nicole, Standly, Stars Music Chile","Marisola - Remix","CL, AR","Urbano"
"mar-23","Spotify","26","Jere Klein, ITHAN NY","Los Diablotes","CL, CL","Urbano"
"mar-23","Spotify","27","Pailita, Cris Mj, Young Cister","Llámame Bebé","CL","Urbano"
"mar-23","Spotify","28","Jere Klein, Lucky Brown","Mandame Tu Ubi","CL","Urbano"
"mar-23","Spotify","29","Jere Klein","Ram","CL","Urbano"
"mar-23","Spotify","30","Feid","REMIX EXCLUSIVO","CO","Urbano"
"mar-23","Spotify","31","Noriel, Pailita","Be Con Be","PR","Urbano"
"mar-23","Spotify","32","Jairo Vera","PA K TE ENAMORE","CL","Urbano"
"mar-23","Spotify","33","Arcángel, Bad Bunny","La Jumpa","PR, PR","Urbano"
"mar-23","Spotify","34","Quevedo","PUNTO G","ES","Urbano"
"mar-23","Spotify","35","Balbi El Chamako, Jere Klein","Ese Corte","CL, CL","Urbano"
"mar-23","Spotify","36","KAROL G, Ovy On The Drums","CAIRO","CO, CO","Urbano"
"mar-23","Spotify","37","Jairo Vera","Lealtad","CL","Urbano"
"mar-23","Spotify","38","Jere Klein","6.5","CL","Urbano"
"mar-23","Spotify","39","KAROL G","PROVENZA","CO","Urbano"
"mar-23","Spotify","40","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","AR","Urbano"
"mar-23","Spotify","41","Yng Lvcas, Peso Pluma","La Bebe - Remix","MX","Urbano"
"mar-23","Spotify","42","Lucky Brown, Jere Klein, Valdi","Vengo De La Brea","CL","Urbano"
"mar-23","Spotify","43","Nickoog Clk, ITHAN NY, Lucky Brown, Izahn","Glocko","CL","Urbano"
